"Date","Orders","Tracked Orders","Anonymous Orders"
1/1/2017,106034,106019,15
1/2/2017,138653,138641,12
1/3/2017,63660,63653,7
1/4/2017,55301,55290,11
1/5/2017,96918,96908,10
1/6/2017,97072,97066,6
1/7/2017,103272,103251,21
1/8/2017,111054,111046,8
1/9/2017,62035,62029,6
1/10/2017,77337,77333,4
1/11/2017,89957,89951,6
1/12/2017,46888,46886,2
1/13/2017,136277,136266,11
1/14/2017,165376,165358,18
1/15/2017,107215,107208,7
1/16/2017,106507,106499,8
1/17/2017,73976,73974,2
1/18/2017,64814,64810,4
1/19/2017,63901,63898,3
1/20/2017,72823,72812,11
1/21/2017,80001,79999,2
1/22/2017,97400,97394,6
1/23/2017,52980,52976,4
1/24/2017,43096,43094,2
1/25/2017,80946,80940,6
1/26/2017,74973,74969,4
1/27/2017,68810,68802,8
1/28/2017,79164,79162,2
1/29/2017,96300,96295,5
1/30/2017,64877,64873,4
1/31/2017,59630,59625,5
2/1/2017,78688,78682,6
2/2/2017,106940,106934,6
2/3/2017,111045,111035,10
2/4/2017,105841,105834,7
2/5/2017,108471,108464,7
2/6/2017,96104,96100,4
2/7/2017,87518,87514,4
2/8/2017,79533,79530,3
2/9/2017,62234,62229,5
2/10/2017,151432,151424,8
2/11/2017,177569,177555,14
2/12/2017,96744,96739,5
2/13/2017,68581,68577,4
2/14/2017,66037,66034,3
2/15/2017,86187,86180,7
2/16/2017,78535,78531,4
2/17/2017,77891,77888,3
2/18/2017,86636,86633,3
2/19/2017,106416,106411,5
2/20/2017,138137,138124,13
2/21/2017,62037,62031,6
2/22/2017,61849,61845,4
2/23/2017,54740,54739,1
2/24/2017,77894,77890,4
2/25/2017,88415,88411,4
2/26/2017,102162,102160,2
2/27/2017,50914,50912,2
2/28/2017,87084,87082,2
3/1/2017,93718,93711,7
3/2/2017,50316,50315,1
3/3/2017,142484,142476,8
3/4/2017,177151,177135,16
3/5/2017,108031,108026,5
3/6/2017,63199,63195,4
3/7/2017,55901,55899,2
3/8/2017,73134,73131,3
3/9/2017,72755,72752,3
3/10/2017,73359,73355,4
3/11/2017,82286,82280,6
3/12/2017,95361,95349,12
3/13/2017,55791,55790,1
3/14/2017,162374,162363,11
3/15/2017,152351,152346,5
3/16/2017,124701,124696,5
3/17/2017,114315,114313,2
3/18/2017,128808,128801,7
3/19/2017,221749,221737,12
3/20/2017,142048,142039,9
3/21/2017,144968,144962,6
3/22/2017,78857,78855,2
3/23/2017,64461,64459,2
3/24/2017,61554,61548,6
3/25/2017,90724,90716,8
3/26/2017,121825,121821,4
3/27/2017,93818,93813,5
3/28/2017,124424,124418,6
3/29/2017,112812,112809,3
3/30/2017,104369,104360,9
3/31/2017,102136,102130,6
4/1/2017,116115,116113,2
4/2/2017,164208,164199,9
4/3/2017,76266,76264,2
4/4/2017,80173,80167,6
4/5/2017,90294,90294,0
4/6/2017,88942,88940,2
4/7/2017,83588,83581,7
4/8/2017,84037,84032,5
4/9/2017,114157,114156,1
4/10/2017,63224,63220,4
4/11/2017,128349,128343,6
4/12/2017,162336,162330,6
4/13/2017,88357,88352,5
4/14/2017,74019,74016,3
4/15/2017,75901,75891,10
4/16/2017,83759,83751,8
4/17/2017,80115,80113,2
4/18/2017,95060,95059,1
4/19/2017,108614,108610,4
4/20/2017,101686,101680,6
4/21/2017,91145,91141,4
4/22/2017,96933,96925,8
4/23/2017,124487,124483,4
4/24/2017,58169,58164,5
4/25/2017,50825,50822,3
4/26/2017,147289,147285,4
4/27/2017,128988,128981,7
4/28/2017,119283,119274,9
4/29/2017,119127,119120,7
4/30/2017,150602,150595,7
5/1/2017,120440,120437,3
5/2/2017,138219,138211,8
5/3/2017,148887,148876,11
5/4/2017,143740,143736,4
5/5/2017,139755,139751,4
5/6/2017,156065,156050,15
5/7/2017,275214,275200,14
5/8/2017,118849,118842,7
5/9/2017,102056,102047,9
5/10/2017,96255,96251,4
5/11/2017,73085,73081,4
5/12/2017,121756,121749,7
5/13/2017,152060,152057,3
5/14/2017,105392,105390,2
5/15/2017,86219,86212,7
5/16/2017,63880,63871,9
5/17/2017,56865,56863,2
5/18/2017,63206,63203,3
5/19/2017,82448,82444,4
5/20/2017,80766,80762,4
5/21/2017,98291,98286,5
5/22/2017,60148,60146,2
5/23/2017,58517,58516,1
5/24/2017,106140,106131,9
5/25/2017,105014,105006,8
5/26/2017,103500,103497,3
5/27/2017,101607,101605,2
5/28/2017,116775,116764,11
5/29/2017,199725,199718,7
5/30/2017,76084,76082,2
5/31/2017,107785,107783,2
6/1/2017,95411,95406,5
6/2/2017,89566,89560,6
6/3/2017,94742,94734,8
6/4/2017,124420,124410,10
6/5/2017,98689,98682,7
6/6/2017,111671,111666,5
6/7/2017,126751,126748,3
6/8/2017,61440,61436,4
6/9/2017,81804,81801,3
6/10/2017,91093,91086,7
6/11/2017,198202,198190,12
6/12/2017,175383,175376,7
6/13/2017,105377,105376,1
6/14/2017,93666,93662,4
6/15/2017,78801,78799,2
6/16/2017,157819,157816,3
6/17/2017,184538,184531,7
6/18/2017,105585,105580,5
6/19/2017,75458,75458,0
6/20/2017,82646,82645,1
6/21/2017,91998,91996,2
6/22/2017,90821,90814,7
6/23/2017,88849,88846,3
6/24/2017,82779,82776,3
6/25/2017,97096,97087,9
6/26/2017,64231,64224,7
6/27/2017,52466,52463,3
6/28/2017,114502,114497,5
6/29/2017,100021,100015,6
6/30/2017,97122,97117,5
7/1/2017,94641,94634,7
7/2/2017,98362,98356,6
7/3/2017,102515,102506,9
7/4/2017,139226,139216,10
7/5/2017,68031,68030,1
7/6/2017,50330,50326,4
7/7/2017,130855,130849,6
7/8/2017,159049,159040,9
7/9/2017,89489,89481,8
7/10/2017,56047,56043,4
7/11/2017,284743,284735,8
7/12/2017,162553,162544,9
7/13/2017,123378,123370,8
7/14/2017,126775,126763,12
7/15/2017,121522,121515,7
7/16/2017,144953,144948,5
7/17/2017,170951,170946,5
7/18/2017,68142,68137,5
7/19/2017,48725,48721,4
7/20/2017,47215,47213,2
7/21/2017,64229,64226,3
7/22/2017,68896,68893,3
7/23/2017,77895,77889,6
7/24/2017,72054,72053,1
7/25/2017,77519,77516,3
7/26/2017,82154,82150,4
7/27/2017,77902,77897,5
7/28/2017,78968,78968,0
7/29/2017,80975,80968,7
7/30/2017,101780,101772,8
7/31/2017,74360,74357,3
8/1/2017,73351,73345,6
8/2/2017,67165,67161,4
8/3/2017,62495,62493,2
8/4/2017,145594,145588,6
8/5/2017,171515,171506,9
8/6/2017,109241,109235,6
8/7/2017,69792,69787,5
8/8/2017,57113,57111,2
8/9/2017,54733,54730,3
8/10/2017,68879,68875,4
8/11/2017,71279,71275,4
8/12/2017,73948,73943,5
8/13/2017,87337,87335,2
8/14/2017,58592,58590,2
8/15/2017,109720,109712,8
8/16/2017,116759,116754,5
8/17/2017,115416,115408,8
8/18/2017,83166,83161,5
8/19/2017,76923,76920,3
8/20/2017,83703,83699,4
8/21/2017,78370,78361,9
8/22/2017,86639,86636,3
8/23/2017,83335,83332,3
8/24/2017,81730,81725,5
8/25/2017,78544,78535,9
8/26/2017,80402,80401,1
8/27/2017,101974,101966,8
8/28/2017,78807,78804,3
8/29/2017,63624,63622,2
8/30/2017,101634,101631,3
8/31/2017,97082,97070,12
9/1/2017,95736,95728,8
9/2/2017,104636,104633,3
9/3/2017,126063,126053,10
9/4/2017,176524,176516,8
9/5/2017,64553,64551,2
9/6/2017,51155,51155,0
9/7/2017,94511,94506,5
9/8/2017,90797,90793,4
9/9/2017,92540,92537,3
9/10/2017,106028,106024,4
9/11/2017,92060,92057,3
9/12/2017,102730,102728,2
9/13/2017,64128,64125,3
9/14/2017,53026,53022,4
9/15/2017,128618,128610,8
9/16/2017,168801,168793,8
9/17/2017,193920,193915,5
9/18/2017,136492,136480,12
9/19/2017,123176,123168,8
9/20/2017,115280,115276,4
9/21/2017,108043,108035,8
9/22/2017,106565,106560,5
9/23/2017,117003,117000,3
9/24/2017,142382,142382,0
9/25/2017,192153,192144,9
9/26/2017,63479,63478,1
9/27/2017,82781,82778,3
9/28/2017,69001,68997,4
9/29/2017,68504,68500,4
9/30/2017,73207,73206,1
10/1/2017,93536,93531,5
10/2/2017,93181,93179,2
10/3/2017,74293,74291,2
10/4/2017,132334,132329,5
10/5/2017,122078,122067,11
10/6/2017,122395,122390,5
10/7/2017,123052,123046,6
10/8/2017,162632,162621,11
10/9/2017,185412,185406,6
10/10/2017,74793,74789,4
10/11/2017,83998,83990,8
10/12/2017,84891,84888,3
10/13/2017,84257,84255,2
10/14/2017,96819,96810,9
10/15/2017,135518,135504,14
10/16/2017,67600,67595,5
10/17/2017,92967,92964,3
10/18/2017,101838,101833,5
10/19/2017,75261,75256,5
10/20/2017,165047,165038,9
10/21/2017,218159,218151,8
10/22/2017,124246,124238,8
10/23/2017,82498,82495,3
10/24/2017,130808,130806,2
10/25/2017,137384,137383,1
10/26/2017,127441,127435,6
10/27/2017,120519,120515,4
10/28/2017,127319,127313,6
10/29/2017,161448,161441,7
10/30/2017,116487,116483,4
10/31/2017,70009,70007,2
11/1/2017,116327,116320,7
11/2/2017,130273,130271,2
11/3/2017,118444,118440,4
11/4/2017,157711,157707,4
11/5/2017,327598,327590,8
11/6/2017,141467,141465,2
11/7/2017,116372,116369,3
11/8/2017,130088,130082,6
11/9/2017,129703,129696,7
11/10/2017,145416,145408,8
11/11/2017,165953,165949,4
11/12/2017,222030,222021,9
11/13/2017,223890,223884,6
11/14/2017,218305,218300,5
11/15/2017,267221,267207,14
11/16/2017,210742,210729,13
11/17/2017,178428,178426,2
11/18/2017,180928,180925,3
11/19/2017,217436,217424,12
11/20/2017,196321,196313,8
11/21/2017,216505,216496,9
11/22/2017,383844,383829,15
11/23/2017,596793,596762,31
11/24/2017,1038840,1038798,42
11/25/2017,626846,626809,37
11/26/2017,503249,503234,15
11/27/2017,984198,984158,40
11/28/2017,375233,375220,13
11/29/2017,320523,320504,19
11/30/2017,302384,302370,14
12/1/2017,280683,280677,6
12/2/2017,281526,281523,3
12/3/2017,315267,315254,13
12/4/2017,289945,289926,19
12/5/2017,286849,286840,9
12/6/2017,292543,292524,19
12/7/2017,318733,318723,10
12/8/2017,309272,309259,13
12/9/2017,374801,374789,12
12/10/2017,487243,487224,19
12/11/2017,571635,571618,17
12/12/2017,422633,422614,19
12/13/2017,416468,416454,14
12/14/2017,301988,301970,18
