"Date","Sales","Tracked Sales","Anonymous Sales"
1/1/2017,$13881797.42,$13879691.72,$2105.70
1/2/2017,$18299125.72,$18291988.98,$7136.74
1/3/2017,$8864810.21,$8864286.36,$523.85
1/4/2017,$7621564.04,$7620300.15,$1263.89
1/5/2017,$13271336.98,$13269982.19,$1354.79
1/6/2017,$12561378.00,$12560688.90,$689.10
1/7/2017,$14850200.23,$14847701.62,$2498.61
1/8/2017,$16712600.96,$16711548.04,$1052.92
1/9/2017,$11439226.34,$11438160.29,$1066.05
1/10/2017,$10798815.57,$10798427.07,$388.50
1/11/2017,$12422516.37,$12421845.59,$670.78
1/12/2017,$6738508.38,$6738242.78,$265.60
1/13/2017,$14671767.84,$14670316.11,$1451.73
1/14/2017,$18954674.52,$18953187.08,$1487.44
1/15/2017,$15075806.49,$15074969.86,$836.63
1/16/2017,$15631736.08,$15630666.75,$1069.33
1/17/2017,$11147839.70,$11147601.74,$237.96
1/18/2017,$9415352.89,$9415061.55,$291.34
1/19/2017,$9846833.46,$9846544.49,$288.97
1/20/2017,$10104290.06,$10102932.81,$1357.25
1/21/2017,$11615021.49,$11614776.55,$244.94
1/22/2017,$14640395.09,$14639537.52,$857.57
1/23/2017,$8398692.06,$8398237.60,$454.46
1/24/2017,$6626394.56,$6626087.59,$306.97
1/25/2017,$11787583.46,$11786168.18,$1415.28
1/26/2017,$10618459.14,$10617960.18,$498.96
1/27/2017,$9897925.04,$9896766.39,$1158.65
1/28/2017,$11800939.45,$11800807.82,$131.63
1/29/2017,$15298875.62,$15298363.11,$512.51
1/30/2017,$10021135.53,$10020046.92,$1088.61
1/31/2017,$8864889.82,$8864126.39,$763.43
2/1/2017,$12603908.63,$12603323.70,$584.93
2/2/2017,$15389863.57,$15389211.11,$652.46
2/3/2017,$15906579.07,$15905416.26,$1162.81
2/4/2017,$15878810.45,$15877964.58,$845.87
2/5/2017,$17118142.17,$17117119.86,$1022.31
2/6/2017,$15091296.45,$15091122.94,$173.51
2/7/2017,$11586906.57,$11585280.73,$1625.84
2/8/2017,$10376533.55,$10376109.08,$424.47
2/9/2017,$9685400.96,$9684845.17,$555.79
2/10/2017,$16666052.01,$16665319.19,$732.82
2/11/2017,$20413369.31,$20411071.60,$2297.71
2/12/2017,$15065404.97,$15064323.21,$1081.76
2/13/2017,$10463861.45,$10463176.60,$684.85
2/14/2017,$10222252.88,$10221934.72,$318.16
2/15/2017,$11147856.97,$11146654.01,$1202.96
2/16/2017,$10155639.66,$10155369.56,$270.10
2/17/2017,$10154269.30,$10154088.00,$181.30
2/18/2017,$11778636.58,$11777949.78,$686.80
2/19/2017,$14787446.66,$14786911.84,$534.82
2/20/2017,$19082704.26,$19081444.04,$1260.22
2/21/2017,$9580028.25,$9579192.32,$835.93
2/22/2017,$10290661.78,$10290217.80,$443.98
2/23/2017,$8010957.87,$8010808.93,$148.94
2/24/2017,$11177272.30,$11176545.19,$727.11
2/25/2017,$12839625.42,$12839228.01,$397.41
2/26/2017,$15184077.92,$15183654.99,$422.93
2/27/2017,$7544038.01,$7542422.11,$1615.90
2/28/2017,$11418273.53,$11418047.90,$225.63
3/1/2017,$12403738.19,$12403199.05,$539.14
3/2/2017,$6959794.82,$6959708.94,$85.88
3/3/2017,$15579379.17,$15577987.34,$1391.83
3/4/2017,$19940421.18,$19938034.12,$2387.06
3/5/2017,$15641686.19,$15641057.88,$628.31
3/6/2017,$11365165.76,$11363169.39,$1996.37
3/7/2017,$10313804.29,$10313385.55,$418.74
3/8/2017,$11245815.69,$11245339.23,$476.46
3/9/2017,$10778191.64,$10777898.68,$292.96
3/10/2017,$10854596.53,$10853796.96,$799.57
3/11/2017,$12487329.08,$12486667.54,$661.54
3/12/2017,$15060455.81,$15058269.30,$2186.51
3/13/2017,$8814998.99,$8814939.34,$59.65
3/14/2017,$29603046.31,$29600637.48,$2408.83
3/15/2017,$26466494.28,$26464168.65,$2325.63
3/16/2017,$21108182.16,$21106232.25,$1949.91
3/17/2017,$19644863.39,$19644636.69,$226.70
3/18/2017,$23074860.10,$23073213.24,$1646.86
3/19/2017,$43248435.94,$43246981.38,$1454.56
3/20/2017,$25888862.22,$25887751.94,$1110.28
3/21/2017,$26081984.04,$26079234.78,$2749.26
3/22/2017,$13170939.14,$13170173.08,$766.06
3/23/2017,$9183409.29,$9183097.44,$311.85
3/24/2017,$8950790.12,$8950119.06,$671.06
3/25/2017,$15895894.89,$15894652.04,$1242.85
3/26/2017,$24255635.37,$24254920.96,$714.41
3/27/2017,$17821609.13,$17821259.41,$349.72
3/28/2017,$17417402.19,$17416647.42,$754.77
3/29/2017,$15683880.39,$15683147.56,$732.83
3/30/2017,$14466956.35,$14465724.88,$1231.47
3/31/2017,$14344389.42,$14343504.17,$885.25
4/1/2017,$16775640.15,$16775412.18,$227.97
4/2/2017,$23920824.25,$23919401.39,$1422.86
4/3/2017,$12705662.83,$12705389.89,$272.94
4/4/2017,$12574068.29,$12573293.28,$775.01
4/5/2017,$14357244.65,$14357244.65,$0.00
4/6/2017,$14199975.04,$14199559.09,$415.95
4/7/2017,$13434653.15,$13433148.04,$1505.11
4/8/2017,$13801964.42,$13801305.62,$658.80
4/9/2017,$19751307.62,$19751027.62,$280.00
4/10/2017,$10101673.88,$10100711.43,$962.45
4/11/2017,$14337497.72,$14336983.14,$514.58
4/12/2017,$18031377.69,$18030920.25,$457.44
4/13/2017,$11600404.74,$11599442.65,$962.09
4/14/2017,$9946071.36,$9945665.45,$405.91
4/15/2017,$10650016.44,$10648271.65,$1744.79
4/16/2017,$12532033.74,$12531163.93,$869.81
4/17/2017,$13553818.63,$13552975.71,$842.92
4/18/2017,$17008096.05,$17008037.86,$58.19
4/19/2017,$14135918.24,$14135180.94,$737.30
4/20/2017,$12797111.80,$12796673.65,$438.15
4/21/2017,$11628711.17,$11628416.19,$294.98
4/22/2017,$12628428.73,$12627066.32,$1362.41
4/23/2017,$16939377.08,$16939041.51,$335.57
4/24/2017,$8736096.57,$8735521.08,$575.49
4/25/2017,$7700870.06,$7700600.13,$269.93
4/26/2017,$28015569.41,$28014782.46,$786.95
4/27/2017,$23288285.50,$23287132.61,$1152.89
4/28/2017,$21124572.58,$21123529.64,$1042.94
4/29/2017,$21834721.50,$21833692.40,$1029.10
4/30/2017,$28239435.73,$28238465.92,$969.81
5/1/2017,$21471036.25,$21470522.49,$513.76
5/2/2017,$21910044.86,$21908767.09,$1277.77
5/3/2017,$23521873.49,$23519670.37,$2203.12
5/4/2017,$22718652.99,$22717909.03,$743.96
5/5/2017,$22133098.84,$22132649.69,$449.15
5/6/2017,$25443894.60,$25441194.64,$2699.96
5/7/2017,$51525274.45,$51522312.04,$2962.41
5/8/2017,$21122925.71,$21122258.97,$666.74
5/9/2017,$13947204.96,$13946474.72,$730.24
5/10/2017,$13012841.24,$13012269.36,$571.88
5/11/2017,$10874540.65,$10874325.68,$214.97
5/12/2017,$14341667.98,$14341255.69,$412.29
5/13/2017,$18669558.22,$18669397.59,$160.63
5/14/2017,$16138180.20,$16137880.45,$299.75
